transaction_id,price,payment_date,customer_id,detail_id,item_id,quantity,item_name,item_price,customer_name,registration_date,customer_name_kana,email,gender,age,birth,pref,payment_date_time,registration_date_time
T0000000140,150000,2019-02-02,IK548249,27,S001,3,PC-A,50000,小山 徹,2019-01-23,おやま とおる,oyama_tohru@example.com,M,35,1984/5/26,埼玉県,2019-02-02,2019-01-23
T0000000141,210000,2019-02-02,HI830026,28,S005,1,PC-E,210000,大島 桃子,2019-01-30,おおしま ももこ,ooshima_momoko@example.com,F,46,1972/11/30,奈良県,2019-02-02,2019-01-30
T0000000142,100000,2019-02-02,IK429683,29,S001,2,PC-A,50000,西村 信輔,2019-01-05,にしむら しんすけ,nishimura_shinsuke@example.com,M,29,1989/10/7,長野県,2019-02-02,2019-01-05
T0000000143,85000,2019-02-02,GD903830,30,S002,1,PC-B,85000,安藤 さやか,2019-01-05,あんどう さやか,anndou_sayaka@example.com,F,53,1966/2/6,大阪府,2019-02-02,2019-01-05
T0000000144,85000,2019-02-02,AS265381,31,S002,1,PC-B,85000,笠井 洋介,2019-01-01,かさい ようすけ,kasai_yousuke@example.com,M,69,1949/8/9,岡山県,2019-02-02,2019-01-01
T0000000145,85000,2019-02-02,IK548249,32,S002,1,PC-B,85000,小山 徹,2019-01-23,おやま とおる,oyama_tohru@example.com,M,35,1984/5/26,埼玉県,2019-02-02,2019-01-23
T0000000146,120000,2019-02-02,OA959837,33,S003,1,PC-C,120000,中沢 美嘉,2019-01-11,なかざわ みか,nakazawa_mika@example.com,F,54,1964/12/14,大阪府,2019-02-02,2019-01-11
T0000000147,50000,2019-02-02,HI527630,34,S001,1,PC-A,50000,高瀬 恵梨香,2019-01-30,たかせ えりか,takase_erika@example.com,F,26,1993/3/28,滋賀県,2019-02-02,2019-01-30
T0000000148,85000,2019-02-02,GD843424,35,S002,1,PC-B,85000,辻本 薫,2019-01-10,つじもと かおる,tsujimoto_kaoru@example.com,M,43,1976/4/28,埼玉県,2019-02-02,2019-01-10
T0000000149,100000,2019-02-02,AS220894,36,S001,2,PC-A,50000,梶原 一恵,2019-01-26,かじわら かづえ,kajiwara_kadue@example.com,F,54,1965/5/3,埼玉県,2019-02-02,2019-01-26
T0000000150,180000,2019-02-02,AS015315,37,S004,1,PC-D,180000,久野 光洋,2019-01-24,ひさの みつひろ,hisano_mitsuhiro@example.com,M,80,1938/10/5,愛知県,2019-02-02,2019-01-24
T0000000151,50000,2019-02-02,OA239766,38,S001,1,PC-A,50000,玉木 有起哉,2019-01-01,たまき ゆきや,tamaki_yukiya@example.com,M,22,1997/1/12,東京都,2019-02-02,2019-01-01
T0000000152,210000,2019-02-02,HD471103,39,S005,1,PC-E,210000,玉木 一代,2019-01-16,たまき かずよ,tamaki_kazuyo@example.com,F,36,1983/7/4,千葉県,2019-02-02,2019-01-16
T0000000153,120000,2019-02-02,PL020585,40,S003,1,PC-C,120000,山西 高史,2019-01-19,やまにし たかし,yamanishi_takashi@example.com,M,22,1997/6/9,徳島県,2019-02-02,2019-01-19
T0000000154,50000,2019-02-02,PL983707,41,S001,1,PC-A,50000,三橋 美里,2019-01-03,みはし みり,mihashi_miri@example.com,F,28,1991/5/31,福岡県,2019-02-02,2019-01-03
T0000000155,120000,2019-02-02,OA393462,42,S003,1,PC-C,120000,守屋 聡,2019-01-22,もりや さとし,moriya_satoshi@example.com,M,72,1947/2/26,大阪府,2019-02-02,2019-01-22
T0000000156,210000,2019-02-02,AS912483,43,S005,1,PC-E,210000,玉山 まさみ,2019-01-09,たまやま まさみ,tamayama_masami@example.com,F,22,1997/4/26,東京都,2019-02-02,2019-01-09
T0000000157,210000,2019-02-02,IK921715,44,S005,1,PC-E,210000,黒川 まひる,2019-01-19,くろかわ まひる,kurokawa_mahiru@example.com,F,47,1972/4/7,群馬県,2019-02-02,2019-01-19
T0000000158,120000,2019-02-02,AS820169,45,S003,1,PC-C,120000,西川 克実,2019-01-18,にしかわ かつみ,nishikawa_katsumi@example.com,M,67,1951/12/3,京都府,2019-02-02,2019-01-18
T0000000159,50000,2019-02-02,OA329115,46,S001,1,PC-A,50000,沢 雅功,2019-01-18,さわ まさとし,sawa_masatoshi@example.com,M,59,1960/6/1,鳥取県,2019-02-02,2019-01-18
T0000000160,100000,2019-02-02,HD263348,47,S001,2,PC-A,50000,鈴木 奈々,2019-01-30,すずき なな,suzuki_nana@example.com,F,34,1984/8/20,大阪府,2019-02-02,2019-01-30
T0000000161,120000,2019-02-02,IK429683,48,S003,1,PC-C,120000,西村 信輔,2019-01-05,にしむら しんすけ,nishimura_shinsuke@example.com,M,29,1989/10/7,長野県,2019-02-02,2019-01-05
T0000000162,50000,2019-02-02,PL563502,49,S001,1,PC-A,50000,井本 芳正,2019-01-07,いもと よしまさ,imoto_yoshimasa@example.com,M,30,1989/7/15,熊本県,2019-02-02,2019-01-07
T0000000163,210000,2019-02-02,OA441851,50,S005,1,PC-E,210000,井原 紗季,2019-01-31,いはら さき,ihara_saki@example.com,F,52,1967/6/25,愛知県,2019-02-02,2019-01-31
T0000000164,150000,2019-02-02,AS820169,51,S001,3,PC-A,50000,西川 克実,2019-01-18,にしかわ かつみ,nishikawa_katsumi@example.com,M,67,1951/12/3,京都府,2019-02-02,2019-01-18
T0000000165,120000,2019-02-02,GD573644,52,S003,1,PC-C,120000,篠崎 茂樹,2019-01-16,しのざき しげき,shinozaki_shigeki@example.com,M,67,1952/7/30,東京都,2019-02-02,2019-01-16
T0000000166,85000,2019-02-02,PL309891,53,S002,1,PC-B,85000,芳賀 真帆,2019-01-21,はが まほ,haga_maho@example.com,F,74,1944/11/22,岡山県,2019-02-02,2019-01-21
T0000000167,180000,2019-02-02,HD194702,54,S004,1,PC-D,180000,木本 朝香,2019-01-17,きもと あさか,kimoto_asaka@example.com,F,72,1947/1/24,神奈川県,2019-02-02,2019-01-17
T0000000168,210000,2019-02-02,IK025456,55,S005,1,PC-E,210000,森下 陽介,2019-01-26,もりした ようすけ,morishita_yousuke@example.com,M,31,1987/11/20,京都府,2019-02-02,2019-01-26
T0000000169,180000,2019-02-02,IK077913,56,S004,1,PC-D,180000,豊島 憲史,2019-01-03,とよしま のりひと,toyoshima_norihito@example.com,M,29,1990/6/5,神奈川県,2019-02-02,2019-01-03
T0000000170,150000,2019-02-03,TS918434,57,S001,3,PC-A,50000,新田 一代,2019-01-12,あらた かずよ,arata_kazuyo@example.com,F,43,1976/7/13,山梨県,2019-02-03,2019-01-12
T0000000171,120000,2019-02-03,HD566204,58,S003,1,PC-C,120000,秦 しほり,2019-01-07,はた しほり,hata_shihori@example.com,F,68,1950/9/9,愛知県,2019-02-03,2019-01-07
T0000000172,85000,2019-02-03,HI263602,59,S002,1,PC-B,85000,萩原 まさみ,2019-01-03,はぎわら まさみ,hagiwara_masami@example.com,F,60,1959/5/1,沖縄県,2019-02-03,2019-01-03
T0000000173,50000,2019-02-03,HD995428,60,S001,1,PC-A,50000,石垣 隼士,2019-01-21,いしがき しゅんじ,ishigaki_shunji@example.com,M,21,1998/2/1,埼玉県,2019-02-03,2019-01-21
T0000000174,210000,2019-02-03,HD994980,61,S005,1,PC-E,210000,笠井 七世,2019-01-01,かさい ななせ,kasai_nanase@example.com,F,52,1967/8/5,秋田県,2019-02-03,2019-01-01
T0000000175,100000,2019-02-03,TS117409,62,S001,2,PC-A,50000,平田 知史,2019-01-25,ひらた ともふみ,hirata_tomofumi@example.com,M,27,1992/6/30,愛知県,2019-02-03,2019-01-25
T0000000176,180000,2019-02-03,HI196175,63,S004,1,PC-D,180000,堀口 ひかり,2019-01-10,ほりぐち ひかり,horiguchi_hikari@example.com,F,32,1987/5/23,埼玉県,2019-02-03,2019-01-10
T0000000177,100000,2019-02-03,PL729017,64,S001,2,PC-A,50000,根岸 淳,2019-01-27,ねぎし あつし,negishi_atsushi@example.com,M,37,1981/10/20,沖縄県,2019-02-03,2019-01-27
T0000000178,120000,2019-02-03,GD670693,65,S003,1,PC-C,120000,坂口 博之,2019-01-09,さかぐち ひろゆき,sakaguchi_hiroyuki@example.com,M,73,1946/7/1,長崎県,2019-02-03,2019-01-09
T0000000179,120000,2019-02-03,PL381578,66,S003,1,PC-C,120000,相原 朝陽,2019-01-16,あいはら あさひ,aihara_asahi@example.com,F,65,1954/3/31,高知県,2019-02-03,2019-01-16
T0000000180,120000,2019-02-03,AS236198,67,S003,1,PC-C,120000,大矢 守,2019-01-22,おおや まもる,ooya_mamoru@example.com,M,60,1958/11/25,北海道,2019-02-03,2019-01-22
T0000000181,50000,2019-02-03,GD316957,68,S001,1,PC-A,50000,ユースケ 愛菜,2019-01-11,ゆーすけ あいな,yusuke_aina@example.com,F,40,1979/4/23,岐阜県,2019-02-03,2019-01-11
T0000000182,210000,2019-02-03,PL407221,69,S005,1,PC-E,210000,安藤 エリカ,2019-01-02,あんどう えりか,ando_erika@example.com,F,70,1948/11/14,大阪府,2019-02-03,2019-01-02
T0000000183,50000,2019-02-03,IK967528,70,S001,1,PC-A,50000,大貫 研二,2019-01-22,おおぬき けんじ,oonuki_kenji@example.com,M,24,1995/7/26,福岡県,2019-02-03,2019-01-22
T0000000184,120000,2019-02-03,AS870817,71,S003,1,PC-C,120000,木下 美帆,2019-01-23,きのした みほ,kinoshita_miho@example.com,F,20,1999/7/27,神奈川県,2019-02-03,2019-01-23
T0000000185,180000,2019-02-03,HD678019,72,S004,1,PC-D,180000,三船 六郎,2019-01-27,みふね ろくろう,mifune_rokurou@example.com,M,73,1945/11/29,京都府,2019-02-03,2019-01-27
T0000000186,120000,2019-02-03,PL674172,73,S003,1,PC-C,120000,真鍋 璃子,2019-01-09,まなべ りこ,manabe_riko@example.com,F,28,1991/4/16,宮城県,2019-02-03,2019-01-09
T0000000187,50000,2019-02-03,GD639619,74,S001,1,PC-A,50000,小畑 千夏,2019-01-11,おばた ちなつ,obata_chinatsu@example.com,F,23,1995/10/11,新潟県,2019-02-03,2019-01-11
T0000000188,100000,2019-02-03,GD730210,75,S001,2,PC-A,50000,須賀 しぼり,2019-01-23,すが しぼり,suga_shibori@example.com,F,56,1963/6/3,東京都,2019-02-03,2019-01-23
T0000000189,85000,2019-02-03,GD762671,76,S002,1,PC-B,85000,海野 恵望子,2019-01-04,うみの えみこ,umino_emiko@example.com,F,37,1981/10/7,栃木県,2019-02-03,2019-01-04
T0000000190,85000,2019-02-03,IK749861,77,S002,1,PC-B,85000,小玉 徹,2019-01-02,こだま とおる,kodama_tooru@example.com,M,72,1947/2/15,大阪府,2019-02-03,2019-01-02
T0000000191,180000,2019-02-03,IK629720,78,S004,1,PC-D,180000,渡辺 メイサ,2019-01-27,わたなべ めいさ,watanabe_meisa@example.com,F,24,1995/6/17,千葉県,2019-02-03,2019-01-27
T0000000192,180000,2019-02-03,GD821903,79,S004,1,PC-D,180000,森本 優,2019-01-09,もりもと ゆう,morimoto_yuu@example.com,F,36,1982/11/18,愛知県,2019-02-03,2019-01-09
T0000000193,210000,2019-02-03,OA710903,80,S005,1,PC-E,210000,森 華子,2019-01-21,もり はなこ,mori_hanako@example.com,F,74,1944/11/17,福岡県,2019-02-03,2019-01-21
T0000000194,295000,2019-02-03,HD699115,81,S002,1,PC-B,85000,小西 まなみ,2019-01-17,こにし まなみ,konishi_manami@example.com,F,54,1964/10/13,岡山県,2019-02-03,2019-01-17
T0000000194,295000,2019-02-03,HD699115,82,S005,1,PC-E,210000,小西 まなみ,2019-01-17,こにし まなみ,konishi_manami@example.com,F,54,1964/10/13,岡山県,2019-02-03,2019-01-17
T0000000195,180000,2019-02-03,GD620805,83,S004,1,PC-D,180000,春日 美佳,2019-01-25,かすが みか,kasuga_mika@example.com,F,25,1994/4/16,愛知県,2019-02-03,2019-01-25
T0000000196,85000,2019-02-03,GD735013,84,S002,1,PC-B,85000,柳家 まなみ,2019-01-23,やなぎや まなみ,yanagiya_manami@example.com,F,74,1944/9/26,広島県,2019-02-03,2019-01-23
T0000000197,210000,2019-02-03,IK809167,85,S005,1,PC-E,210000,芦田 博之,2019-01-31,あしだ ひろゆき,ashida_hiroyuki@example.com,M,26,1993/1/16,三重県,2019-02-03,2019-01-31
T0000000198,120000,2019-02-03,HD509520,86,S003,1,PC-C,120000,中 仁晶,2019-01-08,なか ひろあき,naka_hiroaki@example.com,M,40,1978/11/18,奈良県,2019-02-03,2019-01-08
T0000000199,120000,2019-02-03,IK921715,87,S003,1,PC-C,120000,黒川 まひる,2019-01-19,くろかわ まひる,kurokawa_mahiru@example.com,F,47,1972/4/7,群馬県,2019-02-03,2019-01-19
T0000000200,50000,2019-02-03,HD995428,88,S001,1,PC-A,50000,石垣 隼士,2019-01-21,いしがき しゅんじ,ishigaki_shunji@example.com,M,21,1998/2/1,埼玉県,2019-02-03,2019-01-21
T0000000201,50000,2019-02-03,PL534171,89,S001,1,PC-A,50000,根本 瞬,2019-01-03,ねもと しゅん,nemoto_shun1@example.com,F,50,1969/2/23,兵庫県,2019-02-03,2019-01-03
T0000000202,85000,2019-02-03,TS963433,90,S002,1,PC-B,85000,有賀 サンタマリア,2019-01-06,ありが さんたまりあ,ariga_stmaria@example.com,M,69,1950/8/5,神奈川県,2019-02-03,2019-01-06
T0000000203,210000,2019-02-03,AS582607,91,S005,1,PC-E,210000,綾瀬 菊生,2019-01-15,あやせ きくお,ayase_kikuo@example.com,M,25,1994/7/28,群馬県,2019-02-03,2019-01-15
T0000000204,170000,2019-02-03,PL705609,92,S002,2,PC-B,85000,山川 咲,2019-01-04,やまかわ さき,yamakawa_saki@example.com,F,25,1993/9/17,岩手県,2019-02-03,2019-01-04
T0000000205,120000,2019-02-04,HI145167,93,S003,1,PC-C,120000,杉山 綾,2019-02-01,すぎやま あや,sugiyama_aya@example.com,F,38,1980/8/20,愛媛県,2019-02-04,2019-02-01
T0000000206,210000,2019-02-04,IK446815,94,S005,1,PC-E,210000,瀬尾 陽子,2019-01-29,せお ようこ,seo_youko@example.com,F,51,1967/10/5,大阪府,2019-02-04,2019-01-29
T0000000207,210000,2019-02-04,TS558026,95,S005,1,PC-E,210000,福沢 浩正,2019-01-29,ふくざわ ひろまさ,fukuzawa_hiromasa@example.com,M,69,1950/1/18,大阪府,2019-02-04,2019-01-29
T0000000208,170000,2019-02-04,AS359364,96,S003,1,PC-C,120000,大場 知世,2019-01-28,おおば ちせ,ooba_chise@example.com,F,64,1955/4/25,千葉県,2019-02-04,2019-01-28
T0000000208,170000,2019-02-04,AS359364,97,S001,1,PC-A,50000,大場 知世,2019-01-28,おおば ちせ,ooba_chise@example.com,F,64,1955/4/25,千葉県,2019-02-04,2019-01-28
T0000000209,170000,2019-02-04,TS515806,98,S002,2,PC-B,85000,市川 和之,2019-02-02,いちかわ かずゆき,ichikawa_kazuyuki@example.com,M,30,1989/7/12,岩手県,2019-02-04,2019-02-02
T0000000210,85000,2019-02-04,OA138193,99,S002,1,PC-B,85000,今田 和之,2019-01-21,いまだ かずゆき,imada_kazuyuki@example.com,M,63,1955/9/14,東京都,2019-02-04,2019-01-21
T0000000211,210000,2019-02-04,HI364290,100,S005,1,PC-E,210000,小松 さやか,2019-01-06,こまつ さやか,komatsu_sayaka@example.com,F,54,1964/8/13,栃木県,2019-02-04,2019-01-06
T0000000212,180000,2019-02-04,HI253328,101,S004,1,PC-D,180000,窪田 千夏,2019-01-25,くぼた ちなつ,kubota_chinatsu@example.com,F,56,1963/4/20,静岡県,2019-02-04,2019-01-25
T0000000213,120000,2019-02-04,HD163236,102,S003,1,PC-C,120000,相原 亮介,2019-02-02,あいはら りょうすけ,aihara_ryousuke@example.com,M,31,1987/9/29,滋賀県,2019-02-04,2019-02-02
T0000000214,85000,2019-02-04,PL792014,103,S002,1,PC-B,85000,木原 勝久,2019-01-29,きはら かつひさ,kihara_katsuhisa@example.com,M,72,1947/4/13,埼玉県,2019-02-04,2019-01-29
T0000000215,50000,2019-02-04,PL472728,104,S001,1,PC-A,50000,黒崎 竜也,2019-02-03,くろさき たつや,kurosaki_tatsuya@example.com,M,39,1980/5/2,静岡県,2019-02-04,2019-02-03
T0000000216,50000,2019-02-04,TS931749,105,S001,1,PC-A,50000,狩野 奈央,2019-01-31,かの なお,kano_nao@example.com,F,36,1983/4/27,神奈川県,2019-02-04,2019-01-31
T0000000217,120000,2019-02-04,HD478215,106,S003,1,PC-C,120000,梅沢 隆,2019-01-12,うめざわ たかし,umezawa_takashi@example.com,M,79,1939/9/15,三重県,2019-02-04,2019-01-12
T0000000218,120000,2019-02-04,AS866028,107,S003,1,PC-C,120000,北川 大樹,2019-01-09,きたかわ ひろき,kitakawa_hiroki@example.com,M,51,1967/12/27,栃木県,2019-02-04,2019-01-09
T0000000219,205000,2019-02-04,HD819739,108,S003,1,PC-C,120000,塩見 はるか,2019-01-01,しおみ はるか,shiomi_haruka@example.com,F,49,1969/10/8,神奈川県,2019-02-04,2019-01-01
T0000000219,205000,2019-02-04,HD819739,109,S002,1,PC-B,85000,塩見 はるか,2019-01-01,しおみ はるか,shiomi_haruka@example.com,F,49,1969/10/8,神奈川県,2019-02-04,2019-01-01
T0000000220,85000,2019-02-04,TS301045,110,S002,1,PC-B,85000,清田 遥,2019-01-03,きよた はるか,kiyota_haruka1@example.com,F,26,1993/1/7,大阪府,2019-02-04,2019-01-03
T0000000221,85000,2019-02-04,AS345469,111,S002,1,PC-B,85000,鶴岡 薫,2019-01-01,つるおか かおる,tsuruoka_kaoru@example.com,M,74,1945/3/25,東京都,2019-02-04,2019-01-01
T0000000222,180000,2019-02-04,AS719871,112,S004,1,PC-D,180000,柳家 奈央,2019-01-28,やなぎや なお,yanagiya_nao@example.com,F,76,1943/4/1,福岡県,2019-02-04,2019-01-28
T0000000223,120000,2019-02-04,HI402688,113,S003,1,PC-C,120000,五大 慶二,2019-01-15,ごだい けいじ,godai_keiji@example.com,M,37,1982/3/13,岡山県,2019-02-04,2019-01-15
T0000000224,50000,2019-02-04,HD768386,114,S001,1,PC-A,50000,田代 雅功,2019-01-11,たしろ まさとし,tashiro_masatoshi@example.com,M,51,1967/11/20,愛媛県,2019-02-04,2019-01-11
T0000000225,85000,2019-02-04,OA567188,115,S002,1,PC-B,85000,小田島 サダヲ,2019-01-22,おだじま さだお,odajima_sadawo@example.com,M,62,1956/8/27,山口県,2019-02-04,2019-01-22
T0000000226,50000,2019-02-04,GD706415,116,S001,1,PC-A,50000,ともさか 昴,2019-02-02,ともさか すばる,tomosaka_subaru@example.com,M,79,1940/6/24,大阪府,2019-02-04,2019-02-02
T0000000227,210000,2019-02-04,HD068817,117,S005,1,PC-E,210000,堀 惇,2019-01-04,ほり あつし,hori_atsushi@example.com,M,68,1951/5/17,大阪府,2019-02-04,2019-01-04
T0000000228,170000,2019-02-04,GD876521,118,S002,2,PC-B,85000,木原 千夏,2019-01-30,きはら ちなつ,kihara_chinatsu@example.com,F,59,1959/11/3,東京都,2019-02-04,2019-01-30
T0000000229,210000,2019-02-04,HI196175,119,S005,1,PC-E,210000,堀口 ひかり,2019-01-10,ほりぐち ひかり,horiguchi_hikari@example.com,F,32,1987/5/23,埼玉県,2019-02-04,2019-01-10
T0000000230,210000,2019-02-04,TS179365,120,S005,1,PC-E,210000,明石家 利夫,2019-01-05,あかしや としお,akashiya_toshio@example.com,M,33,1985/11/14,東京都,2019-02-04,2019-01-05
T0000000231,480000,2019-02-04,PL980001,121,S004,1,PC-D,180000,船橋 ジョージ,2019-01-08,ふなばし じょーじ,funabashi_george@example.com,M,30,1988/10/3,埼玉県,2019-02-04,2019-01-08
T0000000231,480000,2019-02-04,PL980001,122,S004,1,PC-D,180000,船橋 ジョージ,2019-01-08,ふなばし じょーじ,funabashi_george@example.com,M,30,1988/10/3,埼玉県,2019-02-04,2019-01-08
T0000000231,480000,2019-02-04,PL980001,123,S003,1,PC-C,120000,船橋 ジョージ,2019-01-08,ふなばし じょーじ,funabashi_george@example.com,M,30,1988/10/3,埼玉県,2019-02-04,2019-01-08
T0000000232,50000,2019-02-04,HD163236,124,S001,1,PC-A,50000,相原 亮介,2019-02-02,あいはら りょうすけ,aihara_ryousuke@example.com,M,31,1987/9/29,滋賀県,2019-02-04,2019-02-02
T0000000233,170000,2019-02-04,HD661448,125,S002,2,PC-B,85000,河田 なつみ,2019-01-30,かわた なつみ,kawata_natsumi@example.com,F,30,1988/10/27,新潟県,2019-02-04,2019-01-30
T0000000234,100000,2019-02-04,HD693609,126,S001,2,PC-A,50000,有賀 勤,2019-01-13,ありが つとむ,ariga_tsutomu@example.com,M,20,1998/9/10,広島県,2019-02-04,2019-01-13
T0000000235,50000,2019-02-04,PL563502,127,S001,1,PC-A,50000,井本 芳正,2019-01-07,いもと よしまさ,imoto_yoshimasa@example.com,M,30,1989/7/15,熊本県,2019-02-04,2019-01-07
T0000000236,150000,2019-02-04,AS700935,128,S001,3,PC-A,50000,西原 未華子,2019-01-30,にしはら みかこ,nishihara_mikako@example.com,F,52,1967/3/15,奈良県,2019-02-04,2019-01-30
T0000000237,120000,2019-02-04,OA075024,129,S003,1,PC-C,120000,横尾 友香,2019-01-17,よこお ともか,yokoo_tomoka@example.com,F,65,1954/6/18,宮城県,2019-02-04,2019-01-17
T0000000238,120000,2019-02-04,TS931749,130,S003,1,PC-C,120000,狩野 奈央,2019-01-31,かの なお,kano_nao@example.com,F,36,1983/4/27,神奈川県,2019-02-04,2019-01-31
T0000000239,85000,2019-02-04,GD011312,131,S002,1,PC-B,85000,竹田 ちえみ,2019-01-08,たけだ ちえみ,takeda_chiemi@example.com,F,24,1994/10/8,沖縄県,2019-02-04,2019-01-08
T0000000240,210000,2019-02-04,IK688052,132,S005,1,PC-E,210000,矢作 遥,2019-01-18,やはぎ はるか,yahagi_haruka@example.com,F,43,1976/4/28,愛媛県,2019-02-04,2019-01-18
T0000000241,170000,2019-02-05,GD960920,133,S002,2,PC-B,85000,近藤 菜摘,2019-01-17,こんどう なつみ,konndou_natsumi@example.com,F,50,1968/9/2,和歌山県,2019-02-05,2019-01-17
