transaction_id,transaction_date,customer_id,product_id,count,sales,shipping_date,cancellation_date,status,name,hiragana,birth_date,gender,email,phone_number,mobile_number,post_code,address,product_name,brand,category,color,price
201904050003-1,2019-04-05,C-002334,TADB3,2,90684,2019-04-14,,配達済み,田村 貴美,たむら たかみ,1973-10-23,女,tamura69@example.net,03-1251-0254,050-6671-2633,200-7991,東京都練馬区富士見台2-5-1004グランドハイツ211,Tablet-E2-Mod,Tab,タブレット,Varied,45832.76
201904060000-1,2019-04-06,C-000259,IMU,1,1230,2019-04-18,,配達済み,藤村 崇,ふじむら たかし,2004-01-10,男,takashifujimura@example.net,06-7159-2095,090-1773-8176,539-2591,大阪府大阪市東淀川区西淡路3-3-9ビプレイス714,USBマウス-Mod,マウス,周辺機器,Varied,1219.23
201904060001-1,2019-04-06,C-001106,CANB13,1,349800,2019-04-12,,配達済み,川本 崇,かわもと たかし,1983-08-02,その他・不明,kawamoto426@example.jp,0949-25-4517,070-3979-1150,831-5902,福岡県福岡市中央区小笹3-1-109,Caps-X10-Mod,caps,ノートPC,Varied,356273.2
201904060002-1,2019-04-06,C-001690,ZEDB5,3,536700,2019-04-12,,配達済み,竹村 俊文,たけむら としふみ,1986-09-06,男,takemuratoshifumi@example.net,01374-1-9413,090-3313-1375,091-4654,北海道札幌市東区伏古五条2-3-5,Zerace-L5-Mod,zerace,デスクトップ,Varied,174650.85
201904060005-1,2019-04-06,C-002008,INNG3,5,684000,2019-04-12,,配達済み,角田 哲平,つのだ てっぺい,1980-11-10,男,teppei_tsunoda@example.jp,0869-24-8544,050-0294-8088,717-3544,岡山県岡山市北区東古松1-2-14プラネスーペリア809,Inter-V3-Mod,Inter,ノートPC,Varied,130884.26
201904060008-1,2019-04-06,C-002109,INNS5,3,479400,2019-04-14,,配達済み,高根 佐智子,たかね さちこ,1991-05-17,女,sachiko_takane@example.jp,03-2669-3678,080-2116-1832,122-0359,東京都港区港南1-1-501ロイヤルハイツ612,Inter-Q5-Mod,Inter,ノートPC,Varied,159042.51
201904100001-1,2019-04-10,C-001386,TADB5,2,248684,2019-04-19,,配達済み,榎本 昭義,えのもと あきよし,2002-11-19,男,akiyoshi_enomoto@example.co.jp,03-0770-3049,090-8390-6745,131-9624,東京都中央区築地2-1-404,Tablet-E3-Mod,Tab,タブレット,Varied,118234.29
201904100003-1,2019-04-10,C-001601,INDB9,0,0,2019-04-20,,配達済み,吉川 信裕,よしかわ のぶひろ,1985-07-29,男,yoshikawa_nobuhiro@example.com,03-0494-9876,080-4652-8471,189-4868,東京都杉並区永福2-4-18,Inter-W5HP-Mod,Inter,デスクトップ,Varied,214841.49
201904100005-1,2019-04-10,C-002990,TADB5,2,248684,2019-04-21,,配達済み,田村 龍治,たむら りゅうじ,1973-11-28,男,tamuraryuuji@example.net,06-9196-2957,080-7383-7859,589-1318,大阪府泉佐野市鶴原1-1-16,Tablet-E3-Mod,Tab,タブレット,Varied,118234.29
201904100007-1,2019-04-10,C-003056,INNS5,2,319600,2019-04-20,,配達済み,林 茂,はやし しげる,1985-08-29,男,hayashi_shigeru@example.net,03-7382-1344,070-9303-2031,101-8473,東京都練馬区大泉町3-1-6サンクタス806,Inter-Q5-Mod,Inter,ノートPC,Varied,159042.51
201904120000-1,2019-04-12,C-000073,ID16,8,130400,2019-04-19,,配達済み,古川 健司,ふるかわ けんじ,2000-03-02,男,kenjifurukawa@example.ne.jp,06-9686-9458,080-6427-1945,556-7061,大阪府大阪市中央区淡路町2-3-1101,Display-16-Mod,ディスプレイ,周辺機器,Varied,16822.12
201904120002-1,2019-04-12,C-001134,ZENB7,0,0,2019-04-19,,配達済み,金井 茜,かない あかね,1991-06-03,女,akane_kanai@example.ne.jp,06-3079-6878,050-2809-3308,589-3088,大阪府大阪市東住吉区矢田1-5-18クレヴィア715,Zerace-J7-Mod,zerace,ノートPC,Varied,232412.69
201904120003-1,2019-04-12,C-001450,VEDB5,2,449600,2019-04-19,,配達済み,松下 洋平,まつした ようへい,2004-05-12,男,matsushita131@example.co.jp,03-0499-5384,090-1695-9250,170-0369,東京都狛江市岩戸南3-2-301,Verge-T5-Mod,verge,デスクトップ,Varied,217956.45
201904120005-1,2019-04-12,C-003787,CANB9,2,519600,2019-04-18,,配達済み,親川 貴史,おやかわ たかし,1994-10-18,男,oyakawa_takashi@example.com,0564-43-6415,070-6658-2782,472-8042,愛知県名古屋市名東区勢子坊3-5-3,Caps-X5P-Mod,caps,ノートPC,Varied,262146.2
201904130000-1,2019-04-13,C-002606,PUDB3,1,89940,2019-04-19,,配達済み,斉藤 勝彦,さいとう かつひこ,1998-04-03,男,katsuhiko_saito@example.jp,0263-02-7813,070-7683-7596,386-7641,長野県飯田市本町2-2-8,Puter-M2-Mod,puter,デスクトップ,Varied,85668.97
201904130001-1,2019-04-13,C-002761,CANB11,1,289900,2019-04-20,,配達済み,田中 直美,たなか なおみ,1981-10-07,その他・不明,tanaka_1115@example.co.jp,03-9083-5017,090-9702-6648,102-4673,東京都目黒区碑文谷3-5-11ファミリーコーポ812,Caps-X5PH-Mod,caps,ノートPC,Varied,289640.81
201904130004-1,2019-04-13,C-002793,CADB11,1,364800,2019-04-21,,配達済み,橋本 良弘,はしもと よしひろ,1992-12-06,男,hashimoto_yoshihiro@example.org,0463-28-0768,050-4786-5387,237-9405,神奈川県横浜市青葉区あざみ野1-5-11,Caps-XC5PH-Mod,caps,デスクトップ,Varied,349119.58
201904130006-1,2019-04-13,C-003279,VENB7,4,1239200,2019-04-20,,配達済み,鈴木 ひかる,すずき ひかる,1983-11-26,女,suzuki_hikaru@example.com,0138-34-3902,090-9191-2221,069-3353,北海道札幌市中央区南十条西3-3-12チサンマンション501,Verge-U7-Mod,verge,ノートPC,Varied,319704.09
201904180001-1,2019-04-18,C-000999,TADB5,3,373026,2019-04-26,,配達済み,松岡 一生,まつおか いっしょう,1998-03-12,その他・不明,matsuoka_isshou@example.co.jp,05769-2-6746,080-8413-4832,508-9231,岐阜県岐阜市神室町2-3-6,Tablet-E3-Mod,Tab,タブレット,Varied,118234.29
201904180002-1,2019-04-18,C-002957,IMW,3,7611,2019-04-29,,配達済み,小林 祐子,こばやし ゆうこ,1994-05-19,女,yuuko_kobayashi@example.net,03-1011-0147,080-3334-0270,119-0831,東京都西東京市南町3-3-15,ワイヤレスマウス-Mod,マウス,周辺機器,Varied,2469.81
201904200002-1,2019-04-20,C-000190,VEDB3,4,739200,2019-05-03,,配達済み,中原 理恵,なかはら りえ,1981-10-28,女,rie_nakahara@example.jp,03-4780-8026,070-7542-8174,118-4639,東京都台東区寿1-1-5,Verge-T3-Mod,verge,デスクトップ,Varied,177285.39
201904200003-1,2019-04-20,C-001279,CANB11,1,289900,2019-05-01,,配達済み,森田 悦子,もりた えつこ,1985-11-25,女,moritaetsuko@example.ne.jp,03-5151-2676,050-5054-4775,109-7176,東京都中野区南台3-1-20,Caps-X5PH-Mod,caps,ノートPC,Varied,289640.81
201904210001-1,2019-04-21,C-000777,VEDB17,4,4399200,2019-04-28,,配達済み,村上 洋平,むらかみ ようへい,1981-12-10,男,youheimurakami@example.net,03-6504-7517,080-7371-8950,158-4210,東京都国分寺市本町3-3-105エスプリ703,Verge-T9H4-Mod,verge,デスクトップ,Varied,1112208.42
201904250000-1,2019-04-25,C-000288,PUNR3,1,98740,2019-05-05,,配達済み,川越 彩,かわごえ あや,1990-03-27,女,aya_kawagoe@example.com,03-4630-6530,090-1469-6238,132-0431,東京都小金井市東町2-2-8,Puter-K2-Mod,puter,ノートPC,Varied,100083.06
201904250003-1,2019-04-25,C-000382,VEDB9,3,1138200,2019-05-04,,配達済み,安達 佳奈,あだち かな,1978-07-10,女,adachi_kana@example.co.jp,06-1531-2391,070-9109-1778,584-2937,大阪府大阪市城東区蒲生1-1-6,Verge-T9-Mod,verge,デスクトップ,Varied,372790.65
201904250003-2,2019-04-25,C-000382,ZEDB5,2,357800,2019-05-07,,配達済み,安達 佳奈,あだち かな,1978-07-10,女,adachi_kana@example.co.jp,06-1531-2391,070-9109-1778,584-2937,大阪府大阪市城東区蒲生1-1-6,Zerace-L5-Mod,zerace,デスクトップ,Varied,174650.85
201904250003-3,2019-04-25,C-000382,ZENB5,4,695200,2019-05-07,,配達済み,安達 佳奈,あだち かな,1978-07-10,女,adachi_kana@example.co.jp,06-1531-2391,070-9109-1778,584-2937,大阪府大阪市城東区蒲生1-1-6,Zerace-J5-Mod,zerace,ノートPC,Varied,172066.72
201904250004-1,2019-04-25,C-000452,INDB1,10,948000,2019-05-04,,配達済み,大里 英雄,おおさと ひでお,1985-09-22,男,osato_hideo@example.jp,0947-00-5318,070-1017-3181,834-8726,福岡県福岡市早良区百道浜1-3-8,Inter-C1-Mod,Inter,デスクトップ,Varied,94083.35
201904250005-1,2019-04-25,C-002056,VEDB3,1,184800,2019-05-03,,配達済み,岸 裕仁,きし ひろひと,1982-12-31,男,kishi_419@example.ne.jp,03-7585-1527,080-0380-5514,208-8840,東京都三鷹市下連雀1-4-8,Verge-T3-Mod,verge,デスクトップ,Varied,177285.39
201904250009-1,2019-04-25,C-002515,CADB9,2,639600,2019-05-07,,配達済み,鈴木 佳織,すずき かおり,2001-09-05,女,kaorisuzuki@example.com,06-7133-1273,090-9456-8303,546-5123,大阪府大阪市淀川区西中島2-2-4,Caps-XC5P-Mod,caps,デスクトップ,Varied,327832.2
201904250010-1,2019-04-25,C-002809,CANB11,3,869700,2019-05-04,,配達済み,末松 まどか,すえまつ まどか,1974-07-14,女,suematsu_21@example.jp,0532-57-8525,050-3302-3665,491-4718,愛知県名古屋市守山区大森2-1-5,Caps-X5PH-Mod,caps,ノートPC,Varied,289640.81
201904250011-1,2019-04-25,C-003782,ZEDB3,3,467400,2019-05-05,,配達済み,岡田 華奈,おかだ かな,1998-12-20,女,kanaokada@example.org,01267-7-7553,080-8524-7181,090-8242,北海道札幌市東区東雁来十条2-2-3リビオ810,Zerace-L3-Mod,zerace,デスクトップ,Varied,157751.67
201904280003-1,2019-04-28,C-000222,INNS5,4,639200,2019-05-07,,配達済み,井上 裕子,いのうえ ゆうこ,1985-09-10,女,inoue_71@example.net,03-7430-2101,090-7210-5727,114-9651,東京都千代田区飯田橋2-1-5アーバンビュー403,Inter-Q5-Mod,Inter,ノートPC,Varied,159042.51
201904280003-2,2019-04-28,C-000222,VENB9,4,1479200,2019-05-05,,配達済み,井上 裕子,いのうえ ゆうこ,1985-09-10,女,inoue_71@example.net,03-7430-2101,090-7210-5727,114-9651,東京都千代田区飯田橋2-1-5アーバンビュー403,Verge-U9-Mod,verge,ノートPC,Varied,379232.29
201904280005-1,2019-04-28,C-001179,CADB9,12,3837600,2019-05-06,,配達済み,及川 育子,おいかわ いくこ,1985-11-24,女,oikawaikuko@example.ne.jp,0495-75-2484,070-9348-7766,333-4412,埼玉県さいたま市桜区町谷1-3-10,Caps-XC5P-Mod,caps,デスクトップ,Varied,327832.2
201904280006-1,2019-04-28,C-001339,TADB3,4,181368,2019-05-04,,配達済み,鎌倉 晴美,かまくら はるみ,1984-08-30,女,harumi_kamakura@example.co.jp,03-2424-3147,050-6423-9155,208-7014,東京都大田区上池台4-3-6,Tablet-E2-Mod,Tab,タブレット,Varied,45832.76
201904280008-1,2019-04-28,C-001341,VEDB7,1,228900,2019-05-07,,配達済み,野畑 涼子,のばた りょうこ,1995-11-20,女,nobata1129@example.ne.jp,0294-69-2111,070-7164-7781,300-6671,茨城県牛久市上柏田1-2-302,Verge-T7-Mod,verge,デスクトップ,Varied,228883.76
201904280010-1,2019-04-28,C-001538,TADB3,1,45342,2019-05-05,2019-05-09,キャンセル,田宮 彰男,たみや あきお,1988-07-10,男,tamiya_akio@example.jp,03-5911-0170,070-3229-6467,143-3030,東京都三鷹市下連雀4-2-7リブコート603,Tablet-E2-Mod,Tab,タブレット,Varied,45832.76
201904280011-1,2019-04-28,C-001607,INNB3,1,126800,2019-05-05,,配達済み,窪田 佳代,くぼた かよ,1993-07-02,女,kayokubota@example.com,0823-04-5530,090-0657-8930,722-1673,広島県広島市安佐北区可部南2-5-16,Inter-V3-Mod,Inter,ノートPC,Varied,122130.03
201904280012-1,2019-04-28,C-001642,VEDB9,1,379400,2019-05-07,,配達済み,田村 浩司,たむら ひろし,1989-04-07,男,tamura_hiroshi@example.org,0146-35-6855,080-8206-6675,004-5317,北海道札幌市中央区北四条西3-4-17,Verge-T9-Mod,verge,デスクトップ,Varied,372790.65
201904280015-1,2019-04-28,C-002369,IKU,2,5662,2019-05-07,,配達済み,増田 良,ますだ りょう,1986-01-19,男,masuda_ryou@example.net,06-5622-8372,080-3875-8811,532-7170,大阪府大阪市浪速区桜川3-4-3ヴィラ611,USBキーボード-Mod,キーボード,周辺機器,Varied,2752.26
201904290001-1,2019-04-29,C-001724,VEDB5,2,449600,2019-05-09,,配達済み,川島 高行,かわしま たかゆき,1977-02-25,男,kawashima_120@example.com,06-6941-7910,080-3260-3092,547-5230,大阪府大阪市西淀川区大和田3-1-9ロイヤルメゾン106,Verge-T5-Mod,verge,デスクトップ,Varied,217956.45
201904290004-1,2019-04-29,C-002809,INNB9,5,1099000,2019-05-05,,配達済み,末松 まどか,すえまつ まどか,1974-07-14,女,suematsu_21@example.jp,0532-57-8525,050-3302-3665,491-4718,愛知県名古屋市守山区大森2-1-5,Inter-Q5HP-Mod,Inter,ノートPC,Varied,227835.25
201904290005-1,2019-04-29,C-003725,VENB5,23,6205400,2019-05-10,,配達済み,岡本 徹治,おかもと てつはる,1990-10-17,男,okamoto126@example.jp,0226-36-0566,080-1514-2435,986-5325,宮城県仙台市青葉区宮町4-2-9パークナード607,Verge-U5-Mod,verge,ノートPC,Varied,280578.1
201905020000-1,2019-05-02,C-000515,CANB13,1,349800,2019-05-14,,配達済み,川崎 明美,かわさき あけみ,1985-06-03,女,kawasaki_akemi@example.com,0460-71-4313,080-6094-9771,248-3907,神奈川県茅ヶ崎市東海岸北1-1-7,Caps-X10-Mod,caps,ノートPC,Varied,356273.2
201905020003-1,2019-05-02,C-000685,PUDB3,2,179880,2019-05-14,,配達済み,丹羽 雅彦,にわ まさひこ,1979-05-20,男,niwa_masahiko@example.jp,03-7063-1951,080-3805-0873,175-2350,東京都北区浮間2-2-6,Puter-M2-Mod,puter,デスクトップ,Varied,85668.97
201905020004-1,2019-05-02,C-001072,IKW,2,7562,2019-05-13,,配達済み,松本 真也,まつもと しんや,1974-02-01,男,matsumotoshinya@example.net,0561-51-7230,070-0337-8684,460-3868,愛知県一宮市篭屋1-3-8ファミールグラン603,ワイヤレスキーボード-Mod,キーボード,周辺機器,Varied,3814.84
201905020005-1,2019-05-02,C-001076,INNG3,1,136800,2019-05-10,,配達済み,関口 秀和,せきぐち ひでかず,1990-06-13,男,sekiguchi213@example.jp,076-955-9960,070-6453-3200,929-9024,石川県野々市市下林1-2-6,Inter-V3-Mod,Inter,ノートPC,Varied,130884.26
201905020006-1,2019-05-02,C-001082,ZENB3,1,154800,2019-05-15,,配達済み,佐々木 稔,ささき みのる,1981-05-27,男,sasaki717@example.com,0790-78-6337,070-1223-1705,657-5446,兵庫県神戸市長田区腕塚町2-1-22,Zerace-J3-Mod,zerace,ノートPC,Varied,147824.95
201905020007-1,2019-05-02,C-001896,INNG9,3,689400,2019-05-14,,配達済み,窪田 優子,くぼた ゆうこ,1988-09-02,女,kubota_927@example.com,089-231-7268,070-7765-8166,799-2550,愛媛県四国中央市三島中央4-1-6,Inter-Q5HP-Mod,Inter,ノートPC,Varied,223504.79
201905020008-1,2019-05-02,C-002086,IKW,3,11343,2019-05-11,,配達済み,土屋 幸子,つちや さちこ,1993-03-19,女,tsuchiyasachiko@example.com,03-7948-0195,090-0613-9297,131-9150,東京都港区南青山4-3-10,ワイヤレスキーボード-Mod,キーボード,周辺機器,Varied,3814.84
201905020014-1,2019-05-02,C-002532,INNS7,1,181800,2019-05-13,,配達済み,高橋 信博,たかはし のぶひろ,1982-08-23,男,takahashi1111@example.net,03-8582-7628,050-0235-4166,209-1004,東京都小金井市東町4-3-8,Inter-Q5H-Mod,Inter,ノートPC,Varied,177108.55
201905020015-1,2019-05-02,C-002735,VEDB3,4,739200,2019-05-08,,配達済み,中根 太,なかね ふとし,1973-08-16,男,nakane_711@example.co.jp,03-1903-2007,050-8270-3872,103-2685,東京都新宿区高田馬場2-3-7,Verge-T3-Mod,verge,デスクトップ,Varied,177285.39
201905020019-1,2019-05-02,C-002863,INDB3,10,1168000,2019-05-12,,配達済み,奥田 尚樹,おくだ なおき,1990-09-05,男,okuda323@example.jp,0966-34-7998,080-6564-7334,864-2433,熊本県熊本市西区春日3-2-17,Inter-C3-Mod,Inter,デスクトップ,Varied,118539.51
201905030000-1,2019-05-03,C-000170,TADB1,0,0,2019-05-12,,配達済み,兼子 健司,かねこ けんじ,1975-06-25,その他・不明,kenjikaneko@example.ne.jp,03-3112-9695,080-7643-6959,186-4880,東京都世田谷区用賀1-1-9,Tablet-E1-Mod,Tab,タブレット,Varied,14402.28
201905030001-1,2019-05-03,C-001227,CADB9,3,959400,2019-05-14,2019-05-19,キャンセル,大林 友香子,おおばやし ゆかこ,2001-09-12,女,obayashi127@example.co.jp,03-5156-7189,050-5399-4392,136-3790,東京都墨田区江東橋3-1-106アドリーム403,Caps-XC5P-Mod,caps,デスクトップ,Varied,327832.2
201905030003-1,2019-05-03,C-001935,CADB11,1,364800,2019-05-10,,配達済み,斎藤 美紀,さいとう みき,1991-12-18,女,saito1226@example.co.jp,03-5745-3160,070-5818-7416,164-6131,東京都墨田区両国1-2-309,Caps-XC5PH-Mod,caps,デスクトップ,Varied,349119.58
201905030005-1,2019-05-03,C-002510,PUNR1,1,67800,2019-05-10,,配達済み,濱 幹雄,はま みきお,1979-06-12,その他・不明,hama712@example.ne.jp,0949-17-4379,050-9581-2771,835-8287,福岡県福岡市中央区六本松2-4-102パインクレスト108,Puter-K1-Mod,puter,ノートPC,Varied,67590.59
201905030009-1,2019-05-03,C-002534,CANB11,0,0,2019-05-14,,配達済み,武市 亨,たけいち とおる,1999-11-15,男,takeichitooru@example.net,047-230-6305,080-5638-6299,269-7787,千葉県市川市曽谷1-1-11,Caps-X5PH-Mod,caps,ノートPC,Varied,289640.81
201905030013-1,2019-05-03,C-002977,PUNR3,2,197480,2019-05-08,,配達済み,畠山 和幸,はたけやま かずゆき,1998-08-24,男,hatakeyama_kazuyuki@example.net,0578-52-9005,070-1379-7896,509-9944,岐阜県大垣市禾森町3-5-107ラジュール213,Puter-K2-Mod,puter,ノートPC,Varied,100083.06
201905030015-1,2019-05-03,C-003335,ZEDB9,1,256400,2019-05-09,,配達済み,後藤 久子,ごとう ひさこ,1984-10-17,女,gotohisako@example.com,06-2397-4833,080-1983-9783,579-4031,大阪府泉佐野市羽倉崎2-3-16,Zerace-L9-Mod,zerace,デスクトップ,Varied,246042.19
201905030016-1,2019-05-03,C-003561,CADB9,3,959400,2019-05-16,,配達済み,中谷 由紀,なかたに ゆき,1984-08-03,女,yukinakatani@example.ne.jp,055-200-2067,070-8740-6758,405-2077,山梨県甲府市住吉2-1-10,Caps-XC5P-Mod,caps,デスクトップ,Varied,327832.2
201905030017-1,2019-05-03,C-003610,INNB7,0,0,2019-05-13,,配達済み,鷹取 康生,たかとり やすお,1974-10-20,男,yasuotakatori@example.com,0154-20-1538,090-8104-1365,060-9503,北海道苫小牧市柳町1-1-8レックスガーデン712,Inter-Q5H-Mod,Inter,ノートPC,Varied,182207.42
201905040000-1,2019-05-04,C-000267,INDB9,2,433600,2019-05-12,,配達済み,川井 直史,かわい なおふみ,1993-02-25,男,naofumikawai@example.net,0164-06-7510,080-9075-2786,046-7957,北海道札幌市手稲区新発寒三条3-1-7,Inter-W5HP-Mod,Inter,デスクトップ,Varied,214841.49
201905040001-1,2019-05-04,C-000614,VEDB13,1,584800,2019-05-14,,配達済み,堀部 穂高,ほりべ ほたか,1996-02-07,男,horibe_107@example.jp,0875-94-1500,070-3437-4458,762-2742,香川県観音寺市坂本町2-1-22,Verge-T9H2-Mod,verge,デスクトップ,Varied,559677.57
201905040001-2,2019-05-04,C-000614,ZENB7,4,925600,2019-05-14,,配達済み,堀部 穂高,ほりべ ほたか,1996-02-07,男,horibe_107@example.jp,0875-94-1500,070-3437-4458,762-2742,香川県観音寺市坂本町2-1-22,Zerace-J7-Mod,zerace,ノートPC,Varied,232412.69
201905040004-1,2019-05-04,C-002448,INDB1,2,189600,2019-05-15,,配達済み,樋口 和子,ひぐち かずこ,1972-05-31,女,higuchi_kazuko@example.net,03-2315-1830,070-1886-5833,108-8619,東京都品川区東品川1-3-4,Inter-C1-Mod,Inter,デスクトップ,Varied,94083.35
201905040005-1,2019-05-04,C-002763,INNS5,1,159800,2019-05-14,,配達済み,前田 圭一,まえだ けいいち,1986-08-22,男,keiichi_maeda@example.org,06-7368-7961,050-8008-1292,532-4718,大阪府大阪市旭区新森2-2-18,Inter-Q5-Mod,Inter,ノートPC,Varied,159042.51
201905040008-1,2019-05-04,C-003229,INNG3,2,273600,2019-05-13,,配達済み,上野 啓司,うえの けいじ,1976-12-24,男,keijiueno@example.co.jp,03-7590-9291,050-9513-6954,102-7949,東京都港区芝1-3-19,Inter-V3-Mod,Inter,ノートPC,Varied,130884.26
201905040010-1,2019-05-04,C-003529,INNB7,3,545400,2019-05-13,,配達済み,井上 晃子,いのうえ あきこ,1987-06-19,女,akiko_inoue@example.org,03-2753-1260,080-2836-7264,203-4742,東京都渋谷区神宮前1-3-3,Inter-Q5H-Mod,Inter,ノートPC,Varied,182207.42
201905050002-1,2019-05-05,C-000420,INNG3,2,273600,2019-05-13,,配達済み,奥 浩司,おく ひろし,1981-12-31,男,oku_hiroshi@example.com,03-0786-4694,090-2413-7803,189-2354,東京都中野区中野2-2-9,Inter-V3-Mod,Inter,ノートPC,Varied,130884.26
201905050003-1,2019-05-05,C-000960,INDB7,2,369600,2019-05-14,,配達済み,藤田 まどか,ふじた まどか,1996-03-03,女,madoka_fujita@example.com,03-0804-5774,050-3489-8590,190-5394,東京都中央区日本橋本町1-2-8,Inter-W5H-Mod,Inter,デスクトップ,Varied,180574.63
201905050005-1,2019-05-05,C-001059,INNS9,1,219800,2019-05-14,,配達済み,小西 一也,こにし かずや,1977-02-18,男,kazuya_konishi@example.ne.jp,0940-84-9750,080-3750-0591,802-0068,福岡県糟屋郡宇美町ゆりが丘4-2-8,Inter-Q5HP-Mod,Inter,ノートPC,Varied,218356.48
201905050005-2,2019-05-05,C-001059,ZENB5,0,0,2019-05-12,,配達済み,小西 一也,こにし かずや,1977-02-18,男,kazuya_konishi@example.ne.jp,0940-84-9750,080-3750-0591,802-0068,福岡県糟屋郡宇美町ゆりが丘4-2-8,Zerace-J5-Mod,zerace,ノートPC,Varied,172066.72
201905050006-1,2019-05-05,C-001178,INDB3,19,2219200,2019-05-14,,配達済み,工藤 一裕,くどう かずひろ,2001-10-09,男,kudou59@example.com,0436-39-8409,090-8121-0366,270-5898,千葉県流山市美原2-4-12,Inter-C3-Mod,Inter,デスクトップ,Varied,118539.51
201905050009-1,2019-05-05,C-001297,ID23,4,79920,2019-05-14,,配達済み,岡野 康友,おかの やすとも,1983-09-22,その他・不明,okano55@example.jp,03-2723-8329,090-6098-2910,196-5665,東京都台東区蔵前4-1-9,Display-23-Mod,ディスプレイ,周辺機器,Varied,19078.54
201905050009-2,2019-05-05,C-001297,IMW,2,5074,2019-05-13,,配達済み,岡野 康友,おかの やすとも,1983-09-22,その他・不明,okano55@example.jp,03-2723-8329,090-6098-2910,196-5665,東京都台東区蔵前4-1-9,ワイヤレスマウス-Mod,マウス,周辺機器,Varied,2469.81
201905050011-1,2019-05-05,C-002385,VENB5,1,269800,2019-05-11,,配達済み,坪田 博之,つぼた ひろゆき,1999-12-29,男,hiroyuki_tsubota@example.net,044-002-1936,070-1838-7270,252-4809,神奈川県相模原市南区大野台3-1-1002,Verge-U5-Mod,verge,ノートPC,Varied,280578.1
201905050013-1,2019-05-05,C-003176,TADB3,0,0,2019-05-10,,配達済み,大矢 真弓,おおや まゆみ,1974-06-21,女,oya_mayumi@example.jp,0779-72-2534,070-3230-2635,911-6511,福井県福井市足羽4-2-9レックスマンション309,Tablet-E2-Mod,Tab,タブレット,Varied,45832.76
201905050015-1,2019-05-05,C-003238,CADB7,4,939200,2019-05-12,,配達済み,田邉 美咲,たなべ みさき,1995-02-02,女,tanabemisaki@example.co.jp,047-201-3088,090-9523-4202,277-4145,千葉県船橋市前原東4-1-10グランアッシュ406,Caps-XC5-Mod,caps,デスクトップ,Varied,227729.38
